Codigo,mun,latitude,longitude,UF
1100015,ALTA FLORESTA D'OESTE,"-11,9355403","-61,9998239",RONDÔNIA
1100023,ARIQUEMES,"-9,908462867","-63,03326928",RONDÔNIA
1100031,CABIXI,"-13,49976346","-60,54431358",RONDÔNIA
1100049,CACOAL,"-11,43386503","-61,44294421",RONDÔNIA
1100056,CEREJEIRAS,"-13,19503303","-60,81842616",RONDÔNIA
1100064,COLORADO DO OESTE,"-13,13056384","-60,55506746",RONDÔNIA
1100072,CORUMBIARA,"-12,99752024","-60,94870117",RONDÔNIA
1100080,COSTA MARQUES,"-12,43601388","-64,23165394",RONDÔNIA
1100098,ESPIGÃO D'OESTE,"-11,52855463","-61,02017311",RONDÔNIA
1100106,GUAJARÁ-MIRIM,"-10,77388374","-65,32395182",RONDÔNIA
1100114,JARU,"-10,43594877","-62,47623071",RONDÔNIA
1100122,JI-PARANÁ,"-10,88205132","-61,94509458",RONDÔNIA
1100130,MACHADINHO D'OESTE,"-9,42556248","-61,99959257",RONDÔNIA
1100148,NOVA BRASILÂNDIA D'OESTE,"-11,72132541","-62,30823016",RONDÔNIA
1100155,OURO PRETO DO OESTE,"-10,7235739","-62,26105519",RONDÔNIA
1100189,PIMENTA BUENO,"-11,67753699","-61,18366567",RONDÔNIA
1100205,PORTO VELHO,"-8,76889179","-63,83144565",RONDÔNIA
1100254,PRESIDENTE MÉDICI,"-11,17320502","-61,90943868",RONDÔNIA
1100262,RIO CRESPO,"-9,70553671","-62,90001037",RONDÔNIA
1100288,ROLIM DE MOURA,"-11,72225891","-61,78578094",RONDÔNIA
1100296,SANTA LUZIA D'OESTE,"-11,90842333","-61,77330546",RONDÔNIA
1100304,VILHENA,"-12,74137347","-60,13858387",RONDÔNIA
1100320,SÃO MIGUEL DO GUAPORÉ,"-11,69948974","-62,72006348",RONDÔNIA
1100338,NOVA MAMORÉ,"-10,41177129","-65,32914902",RONDÔNIA
1100346,ALVORADA D'OESTE,"-11,34413002","-62,27727487",RONDÔNIA
1100379,ALTO ALEGRE DOS PARECIS,"-12,13177722","-61,85307717",RONDÔNIA
1100403,ALTO PARAÍSO,"-9,716666738","-63,31762943",RONDÔNIA
1100452,BURITIS,"-10,20980541","-63,82967879",RONDÔNIA
1100502,NOVO HORIZONTE DO OESTE,"-11,70974292","-61,99438766",RONDÔNIA
1100601,CACAULÂNDIA,"-10,33887284","-62,90318993",RONDÔNIA
1100700,CAMPO NOVO DE RONDÔNIA,"-10,56841647","-63,62499143",RONDÔNIA
1100809,CANDEIAS DO JAMARI,"-8,785020703","-63,70002007",RONDÔNIA
1100908,CASTANHEIRAS,"-11,42684223","-61,9491612",RONDÔNIA
1100924,CHUPINGUAIA,"-12,55684076","-60,90184775",RONDÔNIA
1100940,CUJUBIM,"-9,378193399","-62,58717453",RONDÔNIA
1101005,GOVERNADOR JORGE TEIXEIRA,"-10,61207177","-62,74045764",RONDÔNIA
1101104,ITAPUÃ DO OESTE,"-9,191871675","-63,18233702",RONDÔNIA
1101203,MINISTRO ANDREAZZA,"-11,19623798","-61,51892193",RONDÔNIA
