UFMUNDV_CHAR,UFMUNDV,UFMUN,NOMEMUN,CODAMC1991_1997,NEW_CODE_1991_1997,NOME_1991_1997,CODAMC1970_1997,NEW_CODE_1970_1997,NOME_1970_1997,CODAMC1960_1997,NEW_CODE_1960_1997,NOME_1960_1997,CODAMC1940_1997,NEW_CODE_1940_1997,NOME_1940_1997,CODAMC1920_1997,NEW_CODE_1920_1997,NOME_1920_1997,CODAMC1872_1997,NEW_CODE_1872_1997,NOME_1872_1997
11 0001-5,1100015,110001,Alta Floresta d'Oeste,11 0005,11AMC9197002,AMC9197 002,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0002-3,1100023,110002,Ariquemes,11 0020,11AMC9197006,AMC9197 006,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0003-1,1100031,110003,Cabixi,11 0005,11AMC9197002,AMC9197 002,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0004-9,1100049,110004,Cacoal,11 0004,11AMC9197001,AMC9197 001,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0005-6,1100056,110005,Cerejeiras,11 0005,11AMC9197002,AMC9197 002,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0006-4,1100064,110006,Colorado do Oeste,11 0030,11AMC9197008,AMC9197 008,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0007-2,1100072,110007,Corumbiara,11 0030,11AMC9197008,AMC9197 008,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0008-0,1100080,110008,Costa Marques,11 0008,11AMC9197003,AMC9197 003,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0009-8,1100098,110009,Espigão d'Oeste,11 0009,110009,Espigão D'Oeste,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0010-6,1100106,110010,Guajará-Mirim,11 0010,110010,Guajará-Mirim,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0011-4,1100114,110011,Jaru,11 0011,11AMC9197004,AMC9197 004,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0012-2,1100122,110012,Ji-Paraná,11 0012,110012,Ji-Paraná,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0013-0,1100130,110013,Machadinho d'Oeste,11 0020,11AMC9197006,AMC9197 006,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0014-8,1100148,110014,Nova Brasilândia d'Oeste,11 0014,110014,Nova Brasilândia D'Oeste,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
11 0015-5,1100155,110015,Ouro Preto do Oeste,11 0015,11AMC9197005,AMC9197 005,11 0020,11AMC7097001,AMC7097 001,11 0020,11AMC6097001,AMC6097 001,11 0020,11AMC4097001,AMC4097 001,11 0020,11AMC2097001,AMC2097 001,13 0260,513AMC1872_1997001,AMC1872_1997 001
