Municipio,Ano,Produtividade
1100015,1990,599
1100015,1991,599
1100015,1992,600
1100015,1993,600
1100015,1994,599
1100015,1995,1040
1100015,1996,1030
1100015,1997,899
1100015,1998,720
1100015,1999,720
1100015,2000,600
1100015,2001,899
1100015,2002,900
1100015,2003,539
1100015,2004,971
1100015,2005,720
1100015,2006,900
1100015,2007,1000
1100015,2008,1000
1100015,2009,900
1100015,2010,270
1100015,2011,900
1100015,2012,910
1100015,2013,910
1100015,2014,600
1100379,1990,-
1100379,1991,-
1100379,1992,-
1100379,1993,-
1100379,1994,-
1100379,1995,-
1100379,1996,-
1100379,1997,900
1100379,1998,720
1100379,1999,899
1100379,2000,600
1100379,2001,996
1100379,2002,900
1100379,2003,674
1100379,2004,1200
1100379,2005,840
1100379,2006,840
1100379,2007,1200
1100379,2008,1200
1100379,2009,1200
1100379,2010,300
1100379,2011,975
1100379,2012,1200
1100379,2013,1200
1100379,2014,1200
1100403,1990,-
1100403,1991,-
1100403,1992,-
1100403,1993,300
1100403,1994,300
1100403,1995,300
1100403,1996,400
1100403,1997,400
1100403,1998,400
1100403,1999,481
1100403,2000,600
1100403,2001,598
1100403,2002,481
1100403,2003,300
1100403,2004,120
1100403,2005,120
1100403,2006,300
1100403,2007,200
1100403,2008,200
1100403,2009,300
1100403,2010,90
1100403,2011,180
1100403,2012,600
1100403,2013,300
1100403,2014,300
1100346,1990,630
1100346,1991,571
1100346,1992,600
1100346,1993,600
1100346,1994,650
1100346,1995,600
1100346,1996,700
1100346,1997,599
1100346,1998,600
1100346,1999,500
1100346,2000,550
1100346,2001,480
1100346,2002,300
1100346,2003,599
1100346,2004,600
1100346,2005,359
1100346,2006,240
1100346,2007,479
1100346,2008,719
1100346,2009,599
1100346,2010,50
1100346,2011,300
1100346,2012,300
1100346,2013,1190
1100346,2014,1000
1100023,1990,500
1100023,1991,600
1100023,1992,600
1100023,1993,212
1100023,1994,212
1100023,1995,400
1100023,1996,599
1100023,1997,600
1100023,1998,599
1100023,1999,479
1100023,2000,400
1100023,2001,419
1100023,2002,448
1100023,2003,399
1100023,2004,419
1100023,2005,250
1100023,2006,400
1100023,2007,419
1100023,2008,450
1100023,2009,450
1100023,2010,134
1100023,2011,180
1100023,2012,179
1100023,2013,400
1100023,2014,350
1100452,1990,-
1100452,1991,-
1100452,1992,-
1100452,1993,-
1100452,1994,-
1100452,1995,-
1100452,1996,-
1100452,1997,600
1100452,1998,600
1100452,1999,600
1100452,2000,600
1100452,2001,600
1100452,2002,800
1100452,2003,750
1100452,2004,390
1100452,2005,329
1100452,2006,419
1100452,2007,272
1100452,2008,273
1100452,2009,480
1100452,2010,72
1100452,2011,360
1100452,2012,480
1100452,2013,780
1100452,2014,1081
1100031,1990,420
1100031,1991,480
1100031,1992,480
1100031,1993,500
1100031,1994,250
1100031,1995,600
1100031,1996,600
1100031,1997,600
1100031,1998,600
1100031,1999,500
1100031,2000,600
1100031,2001,598
1100031,2002,300
1100031,2003,600
1100031,2004,600
1100031,2005,420
1100031,2006,300
1100031,2007,480
1100031,2008,600
1100031,2009,300
1100031,2010,-
1100031,2011,250
1100031,2012,200
1100031,2013,600
1100031,2014,600
1100601,1990,-
1100601,1991,-
1100601,1992,-
1100601,1993,719
1100601,1994,720
1100601,1995,650
1100601,1996,299
1100601,1997,300
1100601,1998,419
1100601,1999,419
1100601,2000,600
1100601,2001,600
1100601,2002,360
1100601,2003,399
1100601,2004,240
1100601,2005,237
1100601,2006,420
1100601,2007,359
1100601,2008,359
1100601,2009,361
1100601,2010,7
1100601,2011,3
1100601,2012,600
1100601,2013,300
1100601,2014,482
1100049,1990,650
1100049,1991,505
1100049,1992,419
1100049,1993,540
1100049,1994,360
1100049,1995,600
1100049,1996,799
1100049,1997,799
1100049,1998,399
1100049,1999,600
1100049,2000,600
1100049,2001,600
1100049,2002,480
1100049,2003,600
1100049,2004,419
1100049,2005,420
1100049,2006,539
1100049,2007,699
1100049,2008,699
1100049,2009,700
1100049,2010,29
1100049,2011,700
1100049,2012,700
1100049,2013,800
1100049,2014,900
1100700,1990,-
1100700,1991,-
1100700,1992,-
1100700,1993,400
1100700,1994,400
1100700,1995,400
1100700,1996,600
1100700,1997,600
1100700,1998,600
1100700,1999,600
1100700,2000,400
1100700,2001,400
1100700,2002,480
1100700,2003,600
1100700,2004,600
1100700,2005,300
1100700,2006,480
1100700,2007,480
1100700,2008,552
1100700,2009,523
1100700,2010,51
1100700,2011,324
1100700,2012,600
1100700,2013,650
1100700,2014,360
1100809,1990,-
1100809,1991,-
1100809,1992,-
1100809,1993,600
1100809,1994,600
1100809,1995,296
1100809,1996,511
1100809,1997,510
1100809,1998,408
1100809,1999,400
1100809,2000,600
1100809,2001,600
1100809,2002,500
1100809,2003,636
1100809,2004,480
1100809,2005,200
1100809,2006,480
1100809,2007,480
1100809,2008,480
1100809,2009,476
1100809,2010,18
1100809,2011,122
1100809,2012,601
1100809,2013,-
1100809,2014,600
1100908,1990,-
1100908,1991,-
1100908,1992,-
1100908,1993,539
1100908,1994,359
1100908,1995,480
1100908,1996,400
1100908,1997,400
1100908,1998,479
1100908,1999,481
1100908,2000,599
1100908,2001,600
1100908,2002,601
1100908,2003,360
1100908,2004,360
1100908,2005,300
1100908,2006,400
1100908,2007,400
1100908,2008,400
1100908,2009,400
1100908,2010,60
1100908,2011,118
1100908,2012,118
1100908,2013,363
1100908,2014,357
1100056,1990,550
1100056,1991,550
1100056,1992,275
1100056,1993,549
1100056,1994,550
1100056,1995,600
1100056,1996,599
1100056,1997,600
1100056,1998,59
1100056,1999,600
1100056,2000,600
1100056,2001,700
1100056,2002,600
1100056,2003,300
1100056,2004,360
1100056,2005,600
1100056,2006,300
1100056,2007,600
1100056,2008,540
1100056,2009,537
1100056,2010,300
1100056,2011,300
1100056,2012,600
1100056,2013,920
1100056,2014,920
1100924,1990,-
1100924,1991,-
1100924,1992,-
1100924,1993,-
1100924,1994,-
1100924,1995,-
1100924,1996,-
1100924,1997,600
1100924,1998,600
1100924,1999,600
1100924,2000,600
1100924,2001,600
1100924,2002,500
1100924,2003,600
1100924,2004,600
1100924,2005,359
1100924,2006,211
1100924,2007,480
1100924,2008,650
1100924,2009,480
1100924,2010,60
1100924,2011,361
1100924,2012,1770
1100924,2013,520
1100924,2014,320
1100064,1990,600
1100064,1991,600
1100064,1992,420
1100064,1993,420
1100064,1994,600
1100064,1995,600
1100064,1996,799
1100064,1997,800
1100064,1998,399
1100064,1999,599
1100064,2000,800
1100064,2001,800
1100064,2002,800
1100064,2003,800
1100064,2004,480
1100064,2005,500
1100064,2006,500
1100064,2007,500
1100064,2008,400
1100064,2009,480
1100064,2010,180
1100064,2011,119
1100064,2012,600
1100064,2013,600
1100064,2014,600
1100072,1990,-
1100072,1991,-
1100072,1992,-
1100072,1993,599
1100072,1994,600
1100072,1995,600
1100072,1996,899
1100072,1997,700
1100072,1998,490
1100072,1999,600
1100072,2000,600
1100072,2001,600
1100072,2002,600
1100072,2003,598
1100072,2004,360
1100072,2005,180
1100072,2006,390
1100072,2007,240
1100072,2008,480
1100072,2009,480
1100072,2010,300
1100072,2011,300
1100072,2012,360
1100072,2013,600
1100072,2014,180
1100080,1990,600
1100080,1991,600
1100080,1992,420
1100080,1993,350
1100080,1994,600
1100080,1995,600
1100080,1996,400
1100080,1997,400
1100080,1998,400
1100080,1999,400
1100080,2000,569
1100080,2001,570
1100080,2002,572
1100080,2003,420
1100080,2004,419
1100080,2005,420
1100080,2006,180
1100080,2007,400
1100080,2008,400
1100080,2009,400
1100080,2010,70
1100080,2011,360
1100080,2012,360
1100080,2013,450
1100080,2014,450
1100940,1990,-
1100940,1991,-
1100940,1992,-
1100940,1993,-
1100940,1994,-
1100940,1995,-
1100940,1996,-
1100940,1997,402
1100940,1998,250
1100940,1999,241
1100940,2000,600
1100940,2001,400
1100940,2002,400
1100940,2003,600
1100940,2004,480
1100940,2005,480
1100940,2006,480
1100940,2007,300
1100940,2008,300
1100940,2009,250
1100940,2010,180
1100940,2011,400
1100940,2012,402
1100940,2013,356
1100940,2014,200
1100098,1990,600
1100098,1991,600
1100098,1992,420
1100098,1993,420
1100098,1994,360
1100098,1995,480
1100098,1996,500
1100098,1997,500
1100098,1998,419
1100098,1999,419
1100098,2000,600
1100098,2001,599
1100098,2002,600
1100098,2003,300
1100098,2004,239
1100098,2005,240
1100098,2006,480
1100098,2007,600
1100098,2008,600
1100098,2009,600
1100098,2010,90
1100098,2011,600
1100098,2012,600
1100098,2013,599
1100098,2014,599
1101005,1990,-
1101005,1991,-
1101005,1992,-
1101005,1993,500
1101005,1994,510
1101005,1995,510
1101005,1996,500
1101005,1997,500
1101005,1998,500
1101005,1999,600
1101005,2000,500
1101005,2001,500
1101005,2002,500
1101005,2003,600
1101005,2004,480
1101005,2005,419
1101005,2006,420
1101005,2007,540
1101005,2008,540
1101005,2009,540
1101005,2010,304
1101005,2011,420
1101005,2012,479
1101005,2013,600
1101005,2014,480
1100106,1990,651
1100106,1991,402
1100106,1992,400
1100106,1993,236
1100106,1994,240
1100106,1995,300
1100106,1996,597
1100106,1997,602
1100106,1998,401
1100106,1999,277
1100106,2000,600
1100106,2001,598
1100106,2002,400
1100106,2003,400
1100106,2004,361
1100106,2005,480
1100106,2006,360
1100106,2007,360
1100106,2008,600
1100106,2009,486
1100106,2010,476
1100106,2011,262
1100106,2012,440
1100106,2013,571
1100106,2014,-
1101104,1990,-
1101104,1991,-
1101104,1992,-
1101104,1993,600
1101104,1994,600
1101104,1995,200
1101104,1996,900
1101104,1997,791
1101104,1998,400
1101104,1999,400
1101104,2000,600
1101104,2001,600
1101104,2002,611
1101104,2003,500
1101104,2004,500
1101104,2005,180
1101104,2006,602
1101104,2007,602
1101104,2008,602
1101104,2009,602
1101104,2010,485
1101104,2011,129
1101104,2012,429
1101104,2013,500
1101104,2014,600
1100114,1990,584
1100114,1991,600
1100114,1992,449
1100114,1993,449
1100114,1994,539
1100114,1995,600
1100114,1996,699
1100114,1997,600
1100114,1998,600
1100114,1999,479
1100114,2000,600
1100114,2001,600
1100114,2002,599
1100114,2003,600
1100114,2004,299
1100114,2005,180
1100114,2006,600
1100114,2007,600
1100114,2008,600
1100114,2009,600
1100114,2010,239
1100114,2011,600
1100114,2012,428
1100114,2013,788
1100114,2014,1312
1100122,1990,504
1100122,1991,400
1100122,1992,570
1100122,1993,720
1100122,1994,684
1100122,1995,683
1100122,1996,800
1100122,1997,799
1100122,1998,800
1100122,1999,600
1100122,2000,600
1100122,2001,600
1100122,2002,599
1100122,2003,600
1100122,2004,420
1100122,2005,540
1100122,2006,600
1100122,2007,600
1100122,2008,600
1100122,2009,599
1100122,2010,29
1100122,2011,450
1100122,2012,450
1100122,2013,448
1100122,2014,444
1100130,1990,400
1100130,1991,500
1100130,1992,500
1100130,1993,450
1100130,1994,480
1100130,1995,480
1100130,1996,500
1100130,1997,399
1100130,1998,250
1100130,1999,350
1100130,2000,380
1100130,2001,379
1100130,2002,400
1100130,2003,500
1100130,2004,500
1100130,2005,120
1100130,2006,360
1100130,2007,480
1100130,2008,450
1100130,2009,406
1100130,2010,80
1100130,2011,450
1100130,2012,646
1100130,2013,600
1100130,2014,600
1101203,1990,-
1101203,1991,-
1101203,1992,-
1101203,1993,419
1101203,1994,420
1101203,1995,419
1101203,1996,599
1101203,1997,600
1101203,1998,300
1101203,1999,400
1101203,2000,550
1101203,2001,599
1101203,2002,479
1101203,2003,460
1101203,2004,240
1101203,2005,421
1101203,2006,420
1101203,2007,420
1101203,2008,420
1101203,2009,420
1101203,2010,90
1101203,2011,420
1101203,2012,420
1101203,2013,335
1101203,2014,335
1101302,1990,-
1101302,1991,-
1101302,1992,-
1101302,1993,849
1101302,1994,850
1101302,1995,850
1101302,1996,800
1101302,1997,800
1101302,1998,800
1101302,1999,800
1101302,2000,509
1101302,2001,510
1101302,2002,508
1101302,2003,599
1101302,2004,599
1101302,2005,419
1101302,2006,600
1101302,2007,600
1101302,2008,599
1101302,2009,500
1101302,2010,99
1101302,2011,420
1101302,2012,420
1101302,2013,600
1101302,2014,700
1101401,1990,-
1101401,1991,-
1101401,1992,-
1101401,1993,450
1101401,1994,438
1101401,1995,430
1101401,1996,500
1101401,1997,400
1101401,1998,350
1101401,1999,400
1101401,2000,480
1101401,2001,480
1101401,2002,480
1101401,2003,479
1101401,2004,480
1101401,2005,180
1101401,2006,400
1101401,2007,400
1101401,2008,400
1101401,2009,400
1101401,2010,39
1101401,2011,361
1101401,2012,361
1101401,2013,486
1101401,2014,480
1100148,1990,700
1100148,1991,599
1100148,1992,540
1100148,1993,600
1100148,1994,480
1100148,1995,600
1100148,1996,599
1100148,1997,599
1100148,1998,600
1100148,1999,557
1100148,2000,600
1100148,2001,600
1100148,2002,600
1100148,2003,900
1100148,2004,720
1100148,2005,600
1100148,2006,600
1100148,2007,720
1100148,2008,720
1100148,2009,540
1100148,2010,154
1100148,2011,421
1100148,2012,360
1100148,2013,361
1100148,2014,361
1100338,1990,400
1100338,1991,400
1100338,1992,100
1100338,1993,400
1100338,1994,400
1100338,1995,300
1100338,1996,399
1100338,1997,399
1100338,1998,300
1100338,1999,400
1100338,2000,300
1100338,2001,300
