Codigo,Ano,Produtividade
1100015,1990,1600
1100015,1991,1600
1100015,1992,1600
1100015,1993,1600
1100015,1994,1742
1100015,1995,1742
1100015,1996,1300
1100015,1997,1299
1100015,1998,1500
1100015,1999,1500
1100015,2000,1500
1100015,2001,1800
1100015,2002,1799
1100015,2003,1800
1100015,2004,1910
1100015,2005,1500
1100015,2006,1500
1100015,2007,1500
1100015,2008,2200
1100015,2009,2200
1100015,2010,2400
1100015,2011,2400
1100015,2012,2400
1100015,2013,2400
1100015,2014,2402
1100023,1990,1600
1100023,1991,1600
1100023,1992,1600
1100023,1993,1600
1100023,1994,1069
1100023,1995,1069
1100023,1996,1200
1100023,1997,1200
1100023,1998,865
1100023,1999,865
1100023,2000,1200
1100023,2001,1200
1100023,2002,1426
1100023,2003,1500
1100023,2004,1600
1100023,2005,1800
1100023,2006,1900
1100023,2007,1949
1100023,2008,1949
1100023,2009,2000
1100023,2010,2000
1100023,2011,1500
1100023,2012,1200
1100023,2013,1200
1100023,2014,3528
1100031,1990,1800
1100031,1991,1800
1100031,1992,1800
1100031,1993,1620
1100031,1994,1620
1100031,1995,1800
1100031,1996,1600
1100031,1997,1600
1100031,1998,1600
1100031,1999,1800
1100031,2000,1800
1100031,2001,2000
1100031,2002,3000
1100031,2003,3000
1100031,2004,2400
1100031,2005,2400
1100031,2006,3000
1100031,2007,3000
1100031,2008,3000
1100031,2009,3600
1100031,2010,2100
1100031,2011,2100
1100031,2012,3542
1100031,2013,3600
1100031,2014,3600
1100049,1990,1393
1100049,1991,1393
1100049,1992,1393
1100049,1993,1394
1100049,1994,1394
1100049,1995,2000
1100049,1996,1600
1100049,1997,1600
1100049,1998,1599
1100049,1999,1600
1100049,2000,1600
1100049,2001,1500
1100049,2002,1500
1100049,2003,1500
1100049,2004,1500
1100049,2005,1500
1100049,2006,1500
1100049,2007,1800
1100049,2008,1800
1100049,2009,1799
1100049,2010,1679
1100049,2011,1680
1100049,2012,1680
1100049,2013,1629
1100049,2014,1691
1100056,1990,2400
1100056,1991,2400
1100056,1992,2400
1100056,1993,2400
1100056,1994,2500
1100056,1995,2499
1100056,1996,1600
1100056,1997,1599
1100056,1998,1600
1100056,1999,3000
1100056,2000,3000
1100056,2001,2000
1100056,2002,3000
1100056,2003,3000
1100056,2004,3000
1100056,2005,3000
1100056,2006,2100
1100056,2007,2100
1100056,2008,2700
1100056,2009,3000
1100056,2010,2400
