Municipio,Ano,Vacas
1100015,1974,-
1100015,1975,-
1100015,1976,-
1100015,1977,-
1100015,1978,-
1100015,1979,-
1100015,1980,-
1100015,1981,-
1100015,1982,-
1100015,1983,-
1100015,1984,-
1100015,1985,-
1100015,1986,-
1100015,1987,1846
1100015,1988,1546
1100015,1989,1816
1100015,1990,4978
1100015,1991,5974
1100015,1992,7170
1100015,1993,9535
1100015,1994,8390
1100015,1995,9145
1100015,1996,7320
1100015,1997,5322
1100015,1998,11730
1100015,1999,7615
1100015,2000,8244
1100015,2001,10862
1100015,2002,9742
1100015,2003,6170
1100015,2004,7230
1100015,2005,7387
1100015,2006,6489
1100015,2007,6275
1100015,2008,5216
1100015,2009,5212
1100015,2010,6943
1100015,2011,8416
1100015,2012,8162
1100015,2013,6691
1100015,2014,7569
1100379,1974,-
1100379,1975,-
1100379,1976,-
1100379,1977,-
1100379,1978,-
1100379,1979,-
1100379,1980,-
1100379,1981,-
1100379,1982,-
1100379,1983,-
1100379,1984,-
1100379,1985,-
1100379,1986,-
1100379,1987,-
1100379,1988,-
1100379,1989,-
1100379,1990,-
1100379,1991,-
1100379,1992,-
1100379,1993,-
1100379,1994,-
1100379,1995,-
1100379,1996,-
1100379,1997,5750
1100379,1998,7730
1100379,1999,2576
1100379,2000,1712
1100379,2001,4766
1100379,2002,5562
1100379,2003,2464
1100379,2004,2722
1100379,2005,3106
1100379,2006,2618
1100379,2007,3054
1100379,2008,4397
1100379,2009,4236
1100379,2010,4339
1100379,2011,6532
1100379,2012,4451
1100379,2013,4493
1100379,2014,5836
1100403,1974,-
1100403,1975,-
1100403,1976,-
1100403,1977,-
1100403,1978,-
1100403,1979,-
1100403,1980,-
1100403,1981,-
1100403,1982,-
1100403,1983,-
1100403,1984,-
1100403,1985,-
1100403,1986,-
1100403,1987,-
1100403,1988,-
1100403,1989,-
1100403,1990,-
1100403,1991,-
1100403,1992,-
1100403,1993,4293
1100403,1994,705
1100403,1995,1546
1100403,1996,2483
1100403,1997,2731
1100403,1998,2782
1100403,1999,4167
1100403,2000,4500
1100403,2001,5310
1100403,2002,6499
1100403,2003,4272
1100403,2004,5626
1100403,2005,6878
1100403,2006,6566
1100403,2007,6962
1100403,2008,4857
1100403,2009,4970
1100403,2010,5475
1100403,2011,5412
1100403,2012,5145
1100403,2013,3255
1100403,2014,2887
1100346,1974,-
1100346,1975,-
1100346,1976,-
1100346,1977,-
1100346,1978,-
1100346,1979,-
1100346,1980,-
1100346,1981,-
1100346,1982,-
1100346,1983,-
1100346,1984,-
1100346,1985,-
1100346,1986,-
1100346,1987,2570
1100346,1988,2425
1100346,1989,2667
1100346,1990,4269
1100346,1991,4695
1100346,1992,5165
1100346,1993,8781
1100346,1994,9835
1100346,1995,10149
1100346,1996,11143
1100346,1997,12259
1100346,1998,10057
1100346,1999,14642
1100346,2000,16106
1100346,2001,19124
1100346,2002,23008
1100346,2003,32738
1100346,2004,35412
1100346,2005,37554
1100346,2006,35099
1100346,2007,34872
1100346,2008,33253
1100346,2009,34299
1100346,2010,36679
1100346,2011,33442
1100346,2012,36274
1100346,2013,15907
1100346,2014,20129
1100023,1974,-
1100023,1975,-
1100023,1976,-
1100023,1977,-
1100023,1978,1008
1100023,1979,2689
